"Front";"Back";"Tags"
"<strong>Regarding pricelists and the unit price of a product in a quotation, which of the following is true?</strong><br><br>A) For a product with a pricelist, that price will override the Sales Price on the product's form<br>B) Whenever you change the associated pricelist on a quotation, the product's unit price is automatically recomputed<br>C) Both are true";"✅ <strong>Jawaban: A) For a product with a pricelist, that price will override the Sales Price on the product's form</strong>";"odoo19::sales"
"<strong>How could you prevent a specific product from being used in quotations?</strong><br><br>A) By archiving the product<br>B) By setting a blocking warning on the product ('Sale Warnings' setting must be activated)<br>C) Both solutions are correct";"✅ <strong>Jawaban: C) Both solutions are correct</strong>";"odoo19::sales"
"<strong>What's the best way to set up the product form for a product where a consultant will come to the customer's location and conduct a home appraisal?</strong><br><br>A) This should be set up with the Product Type ""Goods"" and the Invoicing Policy ""Delivered quantities"", since the consultant is delivering themself by coming to the customer<br>B) This should be set up with the Product Type ""Service"" and the Invoicing Policy ""Prepaid/Fixed Price"" since the consultant is providing a one-time service<br>C) This should be set up with the Product Type ""Combo"", since the appraisal is a service but coming to the customer's location counts as a delivered good";"✅ <strong>Jawaban: B) This should be set up with the Product Type ""Service"" and the Invoicing Policy ""Prepaid/Fixed Price"" since the consultant is providing a one-time service</strong>";"odoo19::sales"
"<strong>How would you configure a promotion to offer the following: 'Receive a free tote bag with your purchase of $50 or more'?</strong><br><br>A) Create a Conditional Rule with the minimum quantity set to '50' and create a Reward with Reward Type set to 'Discount.' Then, enter 'Free Tote Bag' in the Description On Order field<br>B) Create a Conditional Rule with the minimum purchase set to '50' and create a Reward with a Reward Type set to 'Free Shipping.' Then enter 'Free Tote Bag' in the Description On Order field<br>C) Create a Conditional Rule with the minimum purchase set to '50' and create a Reward with Reward Type set to 'Free Product.' Then, create or select 'Tote Bag' in the Product field";"✅ <strong>Jawaban: C) Create a Conditional Rule with the minimum purchase set to '50' and create a Reward with Reward Type set to 'Free Product.' Then, create or select 'Tote Bag' in the Product field</strong>";"odoo19::sales"
"<strong>You run a small business as a baker. You have a physical storefront where you offer individual loaves of bread, a lunch menu consisting of the customer's choice of sandwich and soft drink, and at-home breadmaking classes. Which of these products best fits the ""Service"" Product Type?</strong><br><br>A) The individual loaves of bread, since baking bread is the service you perform as a baker<br>B) The at-home breadmaking classes, since you are selling an experience and not a physical good<br>C) The lunch menu, since you're letting customers choose items for a complete meal rather than selling them individual baked goods";"✅ <strong>Jawaban: B) The at-home breadmaking classes, since you are selling an experience and not a physical good</strong>";"odoo19::sales"
"<strong>What is a valid configuration for an achievement-based commission plan?</strong><br><br>A) 10% of all sales to a specific customer each quarter<br>B) $1,000 for reaching $25,000 in sales each month<br>C) 5% of the margin of all sales across a specific product category over the course of a year";"✅ <strong>Jawaban: B) $1,000 for reaching $25,000 in sales each month</strong>";"odoo19::sales"
"<strong>How can participants in a Live Session survey receive a bonus for answering questions quickly?</strong><br><br>A) Analyze their response time in Reporting and send them a reward manually.<br>B) Activate Reward quick answers in the Live Session section of the Options tab on the survey form.<br>C) Enable the Score by time option in the Questions tab of the survey.";"✅ <strong>Jawaban: B) Activate Reward quick answers in the Live Session section of the Options tab on the survey form.</strong>";"odoo19::survey"
"<strong>How does a Matrix question work in an Odoo survey?</strong><br><br>A) It requires participants to enter HTML code in their responses.<br>B) It displays a set of rows where participants select an answer from multiple columns.<br>C) It allows participants to retry the same question multiple times without penalty.";"✅ <strong>Jawaban: B) It displays a set of rows where participants select an answer from multiple columns.</strong>";"odoo19::survey"
"<strong>What does clicking See results > Analyze Results on a Survey do?</strong><br><br>A) A side-by-side comparison is created for each participant.<br>B) The survey results are inserted into a Spreadsheet.<br>C) The results are compared across multiple surveys.";"✅ <strong>Jawaban: B) The survey results are inserted into a Spreadsheet.</strong>";"odoo19::survey"
"<strong>What happens when you click one of the colored bars at the top of a kanban stage?</strong><br><br>A) Nothing happens.<br>B) Odoo filters opportunities in that stage by the color code, which represents the current activity status.<br>C) Odoo filters opportunities with a specific activity status across all stages (Planned, Today, Overdue).";"✅ <strong>Jawaban: B) Odoo filters opportunities in that stage by the color code, which represents the current activity status.</strong>";"odoo19::crm"
"<strong>What does the Probability field on an opportunity represent?</strong><br><br>A) The likelihood that the opportunity will move to the next stage in the pipeline.<br>B) The likelihood of receiving a response to a quotation or offer.<br>C) The likelihood of successfully closing the deal with the prospect.";"✅ <strong>Jawaban: C) The likelihood of successfully closing the deal with the prospect.</strong>";"odoo19::crm"
"<strong>What does the Closed Date field indicate on a lead or opportunity?</strong><br><br>A) The date the lead was marked as closed.<br>B) The date the opportunity was marked as won or lost.<br>C) The date the opportunity record was removed from the database.";"✅ <strong>Jawaban: B) The date the opportunity was marked as won or lost.</strong>";"odoo19::crm"
"<strong>How can you manually link an existing sales order to an existing opportunity in Odoo?</strong><br><br>A) Through the Link Documents button on the opportunity.<br>B) Under the Other Info tab on the sales order.<br>C) By creating a new opportunity and merging it with the sales order.";"✅ <strong>Jawaban: B) Under the Other Info tab on the sales order.</strong>";"odoo19::crm"
"<strong>Which of the following is not a Lead Enrichment option on the CRM Settings page?</strong><br><br>A) Enrich leads on demand only.<br>B) Enrich leads based on customer behavior.<br>C) Enrich all leads automatically.";"✅ <strong>Jawaban: B) Enrich leads based on customer behavior.</strong>";"odoo19::crm"
"<strong>How can you filter leads by company size (number of employees) when using the Generate Leads option?</strong><br><br>A) Use the Filter on Size option.<br>B) Only available if you are in Developer Mode.<br>C) Filter based on company revenue instead of size.";"✅ <strong>Jawaban: A) Use the Filter on Size option.</strong>";"odoo19::crm"
"<strong>How can you access an individual sales team's pipeline in Odoo?</strong><br><br>A) Go to Sales > Teams > Pipeline.<br>B) Go to Configuration > Teams > Pipeline.<br>C) Go to Sales > Opportunities and filter by team.";"✅ <strong>Jawaban: A) Go to Sales > Teams > Pipeline.</strong>";"odoo19::crm"
"<strong>What is the shortest interval of time at which automatic rule-based lead assignment can occur in Odoo?</strong><br><br>A) Seconds<br>B) Minutes<br>C) Hours";"✅ <strong>Jawaban: A) Seconds</strong>";"odoo19::crm"
"<strong>What visual indicator shows that an opportunity has ""rotted"" in Odoo?</strong><br><br>A) A red warning icon appears next to the opportunity name in the list view.<br>B) The opportunity's Kanban card is highlighted in red.<br>C) The stage header flashes to indicate a rotted opportunity.";"✅ <strong>Jawaban: A) A red warning icon appears next to the opportunity name in the list view.</strong>";"odoo19::crm"
"<strong>How are leads from external sources, such as an email alias, automatically handled in Odoo?</strong><br><br>A) They are automatically assigned to the sales team leader to ensure follow-up.<br>B) They remain unassigned until a salesperson manually claims them.<br>C) They are assigned randomly to any available salesperson.";"✅ <strong>Jawaban: B) They remain unassigned until a salesperson manually claims them.</strong>";"odoo19::crm"
"<strong>In an AI Agent prompt, what is the purpose of using /field selector?</strong><br><br>A) To reference or update specific fields from a record directly within the prompt.<br>B) To create a shortcut for adding new custom fields to a model.<br>C) To insert predefined text snippets stored in the Knowledge app.";"✅ <strong>Jawaban: A) To reference or update specific fields from a record directly within the prompt.</strong>";"odoo19::ai"
"<strong>What is the purpose of the AI email prompt in Odoo email templates?</strong><br><br>A) To decide when an email should be sent to maximize open rates.<br>B) To help write or enhance parts of an email message based on the template context.<br>C) To automatically detect recipient email addresses from contact records.";"✅ <strong>Jawaban: B) To help write or enhance parts of an email message based on the template context.</strong>";"odoo19::ai"
"<strong>Where can you define the response style (Creative, Balanced, Analytical) for an AI Agent?</strong><br><br>A) On the Agent's configuration form.<br>B) Under General Settings > AI Preferences.<br>C) In each Topic definition individually.";"✅ <strong>Jawaban: A) On the Agent's configuration form.</strong>";"odoo19::ai"
"<strong>When you open a conversation with an AI Agent, what information does it automatically know about the record?</strong><br><br>A) Only the record name and user's message.<br>B) It can access the field values of the record you're viewing, unless restricted by configuration.<br>C) It only knows what's stored in its Sources.";"✅ <strong>Jawaban: B) It can access the field values of the record you're viewing, unless restricted by configuration.</strong>";"odoo19::ai"
"<strong>How many AI Agents can you have in a single Odoo database?</strong><br><br>A) One per installed app.<br>B) A maximum of five active agents per user.<br>C) As many as needed, there's no fixed limit.";"✅ <strong>Jawaban: A) One per installed app.</strong>";"odoo19::ai"
"<strong>Can you use the same mailing list contacts for BOTH email and SMS marketing campaigns?</strong><br><br>A) No, mailing list contacts are specific to the delivery method, and are not interchangeable.<br>B) No, since SMS mailing list contacts do not have an email field, and email marketing lists do not have a phone number field.<br>C) Yes, since mailing list contacts contain both email addresses and phone numbers.";"✅ <strong>Jawaban: A) No, mailing list contacts are specific to the delivery method, and are not interchangeable.</strong>";"odoo19::marketing"
"<strong>Can you create new attendees from an event registration desk kiosk once an event started?</strong><br><br>A) No, registrants MUST register in advance.<br>B) Yes. On the registration desk kiosk, click Select Attendee > New, and enter all the required information.<br>C) No, but Odoo Events automatically creates 10 extra tickets per event, so new attendees can use one, if available";"✅ <strong>Jawaban: A) No, registrants MUST register in advance.</strong>";"odoo19::marketing"
"<strong>What are the two reports available in the 'Email Marketing' application?</strong><br><br>A) Success Rate and Opt-Out Report.<br>B) Bounce Rates and Opportunities.<br>C) Mass Mailing Analysis and Opt-Out Report.";"✅ <strong>Jawaban: A) Success Rate and Opt-Out Report.</strong>";"odoo19::marketing"
"<strong>You've just customized a building block. Where can you reuse it?</strong><br><br>A) You can save it and reuse it anywhere on your website.<br>B) You can save it and reuse it, but only on the page it was created.<br>C) You can save it and reuse it, but only on the homepage.";"✅ <strong>Jawaban: A) You can save it and reuse it anywhere on your website.</strong>";"odoo19::website"
"<strong>Regarding the 'Search Bar' building block, can you customize what the visitor will be searching for?</strong><br><br>A) No, the search bar is only searching for products.<br>B) Yes, you can choose between products, web pages, and blogs (if the related modules are installed).<br>C) Yes, you can choose between appointments, products, web pages, blogs, events, jobs, forums, knowledge articles, and courses (if the related modules are installed) or everything.";"✅ <strong>Jawaban: A) No, the search bar is only searching for products.</strong>";"odoo19::website"
"<strong>You've finished designing the desktop version of your Odoo website. How can you adapt it for the mobile version using the same elements?</strong><br><br>A) You can redesign the mobile version independently from the desktop version, and even have a different themes.<br>B) You can reorder elements, resize columns, and hide specific blocks for mobile without changing the desktop layout.<br>C) You cannot make any changes specific to the mobile version.";"✅ <strong>Jawaban: B) You can reorder elements, resize columns, and hide specific blocks for mobile without changing the desktop layout.</strong>";"odoo19::website"
"<strong>In the 'Optimize SEO' tool, can you choose to fill some fields with AI?</strong><br><br>A) Yes, but only the title and description.<br>B) Yes, but only keywords.<br>C) Yes: title, description, and keywords can be filled with AI.";"✅ <strong>Jawaban: A) Yes, but only the title and description.</strong>";"odoo19::website"
"<strong>Where can you set a custom internal reference for each product variant?</strong><br><br>A) On the product form in the backend, click the Variant smart button.<br>B) On the product form in the backend, in the Sales tab.<br>C) On the product form in the backend, in the Attributes menu.";"✅ <strong>Jawaban: A) On the product form in the backend, click the Variant smart button.</strong>";"odoo19::ecommerce"
"<strong>According to the screenshot below (assuming the attributes 'Fabric' and 'Legs' always generate variants), how many variants will be generated?</strong><br><br>A) 5<br>B) 6<br>C) 2";"✅ <strong>Jawaban: A) 5</strong>";"odoo19::ecommerce"
"<strong>Are there specific ways to display product attributes over a product card on the /shop page?</strong><br><br>A) No, they are always visible.<br>B) Yes, you can choose to display them or not or to display them only on Hover.<br>C) You can only choose to hide them or display them on scroll.";"✅ <strong>Jawaban: A) No, they are always visible.</strong>";"odoo19::ecommerce"
"<strong>Where can you add Optional Products?</strong><br><br>A) On the frontend of the product page with the Editor.<br>B) In Website > eCommerce > Products.<br>C) In the product backend, on the Sales tab.";"✅ <strong>Jawaban: A) On the frontend of the product page with the Editor.</strong>";"odoo19::ecommerce"
"<strong>What articles feature in the 'Shared' category?</strong><br><br>A) Articles shared to all internal users.<br>B) Articles shared with specific users with no default access.<br>C) Article accessible to the author only.";"✅ <strong>Jawaban: B) Articles shared with specific users with no default access.</strong>";"odoo19::knowledge"
"<strong>What type of users can add properties?</strong><br><br>A) Any user accessing an article<br>B) Portal users only<br>C) Users with 'Can edit' access rights";"✅ <strong>Jawaban: A) Any user accessing an article</strong>";"odoo19::knowledge"
"<strong>Which of the following commands allows for hiding and showing a block of content?</strong><br><br>A) Index<br>B) Toggle list<br>C) Separator";"✅ <strong>Jawaban: A) Index</strong>";"odoo19::knowledge"
"<strong>How can you share a task publicly?</strong><br><br>A) By sharing a public link to the task or project<br>B) By setting the task visibility to public<br>C) By setting the project visibility to public";"✅ <strong>Jawaban: A) By sharing a public link to the task or project</strong>";"odoo19::project"
"<strong>Which users can view a private task?</strong><br><br>A) Only the user who created the task and users with the access right ""Project Administrator""<br>B) All users assigned to the task and all users added as followers of the task<br>C) All users added as followers of the task and users with the access right ""Project Administrator""";"✅ <strong>Jawaban: B) All users assigned to the task and all users added as followers of the task</strong>";"odoo19::project"
"<strong>When automatically rescheduling dependent tasks from the Gantt view, which of the following information related to assignees is not taken into account?</strong><br><br>A) Time off<br>B) Working hours<br>C) Calendar";"✅ <strong>Jawaban: C) Calendar</strong>";"odoo19::project"
"<strong>When is a milestone displayed in red?</strong><br><br>A) When one or more of its tasks is marked as canceled<br>B) When the milestone's deadline is today<br>C) When the milestone's deadline has passed and at least one of its tasks is not marked as done or canceled";"✅ <strong>Jawaban: C) When the milestone's deadline has passed and at least one of its tasks is not marked as done or canceled</strong>";"odoo19::project"
"<strong>When creating a task from a project's Kanban view, adding ""24h"" to the task title will:</strong><br><br>A) Add the text ""24h"" to the task's title<br>B) Allocate 24 hours to the task<br>C) Set the task deadline's to be in 24 hours";"✅ <strong>Jawaban: B) Allocate 24 hours to the task</strong>";"odoo19::project"
"<strong>When creating a task from a project's Kanban view, adding ""#priority"" to the title will:</strong><br><br>A) Add a ""priority"" tag to the task<br>B) Set's the task's priority to high<br>C) Add the text ""#priority"" to the task's title";"✅ <strong>Jawaban: B) Set's the task's priority to high</strong>";"odoo19::project"
"<strong>The top bar does not allow you to:</strong><br><br>A) Access records related to your projects without leaving Odoo Project<br>B) Automate task moves between stages<br>C) Add and share custom views";"✅ <strong>Jawaban: B) Automate task moves between stages</strong>";"odoo19::project"
"<strong>The number of analytic accounts that can be set on a project is limited by the number of:</strong><br><br>A) Tasks in the project<br>B) Analytic plans in the project<br>C) Kanban stages in the project";"✅ <strong>Jawaban: B) Analytic plans in the project</strong>";"odoo19::project"
"<strong>What does it mean when a timesheet line is in italics?</strong><br><br>A) It means the line has been invoiced<br>B) It means the line has been validated<br>C) It means the line is related to a project or task for which the user has not yet submitted a timesheet during the displayed period";"✅ <strong>Jawaban: A) It means the line has been invoiced</strong>";"odoo19::timesheets"
"<strong>Which statement is true?</strong><br><br>A) Employees cannot edit a timesheet that predates their most recent validated timesheet<br>B) Employees cannot edit a timesheet when a timesheet from an earlier period has not been validated yet<br>C) Employees cannot edit a timesheet outside their working hours";"✅ <strong>Jawaban: B) Employees cannot edit a timesheet when a timesheet from an earlier period has not been validated yet</strong>";"odoo19::timesheets"
"<strong>What happens when you enable the ""Timesheet Validation"" setting?</strong><br><br>A) Timesheets must be approved by the project manager before they can be submitted<br>B) Employees can only record time after their timesheets are validated by their manager<br>C) Timesheets require validation by a supervisor before being used by the Payroll or Invoicing app";"✅ <strong>Jawaban: C) Timesheets require validation by a supervisor before being used by the Payroll or Invoicing app</strong>";"odoo19::timesheets"
"<strong>Does a time off record automatically create a timesheet?</strong><br><br>A) Always<br>B) Only if the ""Time Off"" setting is enabled<br>C) Never";"✅ <strong>Jawaban: B) Only if the ""Time Off"" setting is enabled</strong>";"odoo19::timesheets"
"<strong>On the ""All Timesheets"" view, what does it mean when a duration is in orange?</strong><br><br>A) It means the employee worked overtime on that day<br>B) It means the employee took time off on that day<br>C) It means the employee worked undertime on that day";"✅ <strong>Jawaban: A) It means the employee worked overtime on that day</strong>";"odoo19::timesheets"
"<strong>A customer invoice with two lines, each with the same account and same 10% tax, is validated. How many items will the generated journal entry have?</strong><br><br>A) 2 journal items<br>B) 3 journal items<br>C) 4 journal items";"✅ <strong>Jawaban: A) 2 journal items</strong>";"odoo19::accounting"
"<strong>What happens when you reconcile a bank transaction with a customer invoice using the bank reconciliation tool?</strong><br><br>A) Odoo creates a new journal entry for the payment and does not change the account of any existing journal entry.<br>B) Odoo updates the bank transaction's journal entry to replace the suspense account with the account receivable of the invoice.<br>C) Odoo updates the invoice journal entry to replace the account receivable with the suspense account of the bank transaction.";"✅ <strong>Jawaban: A) Odoo creates a new journal entry for the payment and does not change the account of any existing journal entry.</strong>";"odoo19::accounting"
"<strong>How can you update exchange rates automatically?</strong><br><br>A) By enabling the Automatic Currency Rates option in the Accounting configuration.<br>B) Exchange rates are automatically updated when a journal entry with a different currency is created.<br>C) By default, currency rates are updated daily and can be manually triggered using the developer mode.";"✅ <strong>Jawaban: A) By enabling the Automatic Currency Rates option in the Accounting configuration.</strong>";"odoo19::accounting"
"<strong>How can you modify a posted journal entry's number?</strong><br><br>A) You can modify a single posted journal entry's number by resetting it to draft and manually changing the number, or you can change them en masse by going into developer mode, selecting the journal entries, and selecting Resequence from the action menu.<br>B) Odoo will only allow users with Bookkeeper access rights for the accounting application to modify a posted journal entry's number. All other users will receive an error message.<br>C) You can modify a single posted journal entry's number by going into developer mode and manually changing the number, or you can change them en masse by selecting the journal entries, resetting them to draft and selecting Resequence from the action menu.";"✅ <strong>Jawaban: A) You can modify a single posted journal entry's number by resetting it to draft and manually changing the number, or you can change them en masse by going into developer mode, selecting the journal entries, and selecting Resequence from the action menu.</strong>";"odoo19::accounting"
"<strong>What information can you define on a contact record?</strong><br><br>A) The default payment method, preferred invoice sending method, and the invoice follow-ups.<br>B) The invoice follow-ups, the payment terms, and the costing method.<br>C) The default payment terms, default payment method, and outstanding account.";"✅ <strong>Jawaban: A) The default payment method, preferred invoice sending method, and the invoice follow-ups.</strong>";"odoo19::accounting"
"<strong>How can you create financial budgets?</strong><br><br>A) Set up analytic plans and accounts first, then create a budget via Accounting > Accounting > Analytic Budget.<br>B) Go to Accounting > Reporting > Profit and Loss, then click the Budget button to display existing budgets and create a new one.<br>C) Go to Accounting > Reporting > Balance Sheet, and select the period. Odoo automatically creates a budget for the selected period.";"✅ <strong>Jawaban: A) Set up analytic plans and accounts first, then create a budget via Accounting > Accounting > Analytic Budget.</strong>";"odoo19::accounting"
"<strong>Can accounts belong to multiple companies?</strong><br><br>A) Yes, but only if the companies are set as branch offices.<br>B) No, each account can only belong to one company.<br>C) Yes, by merging accounts from various companies or mapping multiple companies on an account, each with a code.";"✅ <strong>Jawaban: A) Yes, but only if the companies are set as branch offices.</strong>";"odoo19::accounting"
"<strong>Is it possible to reconcile a bank entry with a draft invoice?</strong><br><br>A) No, draft entries cannot be reconciled with bank transactions because they're not confirmed yet.<br>B) Yes, draft entries can be reconciled, but only if the payment generated a journal entry that uses outstanding accounts.<br>C) Yes, draft invoices can be matched with bank entries for reconciliation.";"✅ <strong>Jawaban: A) No, draft entries cannot be reconciled with bank transactions because they're not confirmed yet.</strong>";"odoo19::accounting"
"<strong>How can you send a payment reminder to a customer for all overdue invoices except one?</strong><br><br>A) In the Invoices list view, search for Overdue invoices and select the desired ones. Then select Invoice Follow-ups in the Actions menu.<br>B) In the customer Follow-up report, enable the toggle in the No Follow-up column for the invoice you want to exclude.<br>C) In the Accounting tab of the customer form, click Send in the Invoice Follow-ups section and select the invoice that needs a reminder.";"✅ <strong>Jawaban: B) In the customer Follow-up report, enable the toggle in the No Follow-up column for the invoice you want to exclude.</strong>";"odoo19::accounting"
"<strong>What do the audit features allow you to do?</strong><br><br>A) Review working files related to selected cycles by performing various checks and balances for a specified period.<br>B) Both review working files and generate a customizable audit report, and control and track changes with a non-restrictive audit trail that is accessible by default to everyone.<br>C) Generate a customizable audit report for that period, including a table of contents, attestations, the balance sheet, a profit and loss statement, annexes, and supporting documents.";"✅ <strong>Jawaban: B) Both review working files and generate a customizable audit report, and control and track changes with a non-restrictive audit trail that is accessible by default to everyone.</strong>";"odoo19::accounting"
"<strong>In perpetual accounting, when purchasing goods to sell them, which actions generate journal entries?</strong><br><br>A) Confirming the vendor bill and confirming the customer invoice.<br>B) Confirming the vendor bill, validating the delivery order, and confirming the customer invoice.<br>C) Validating the receipt, confirming the vendor bill, validating the delivery order, and confirming the customer invoice.";"✅ <strong>Jawaban: C) Validating the receipt, confirming the vendor bill, validating the delivery order, and confirming the customer invoice.</strong>";"odoo19::manually closing a loan will"
"<strong>When you upload an Excel or CSV file and open it with Odoo Spreadsheet, what happens to the original file?</strong><br><br>A) By default, it is deleted, but you can opt to preserve the file.<br>B) The original file is moved to an 'Uploaded Files' folder.<br>C) By default, it is preserved in the same folder unless you check 'Send source file to trash'.";"✅ <strong>Jawaban: A) By default, it is deleted, but you can opt to preserve the file.</strong>";"odoo19::spreadsheet"
"<strong>When a spreadsheet is converted into a dashboard, where is the original spreadsheet saved?</strong><br><br>A) The spreadsheet remains in the Documents app but is automatically set to read-only.<br>B) The spreadsheet is saved in a special Dashboard assets folder, in the Documents app.<br>C) The spreadsheet is deleted from the Documents app and can only be accessed via the Dashboards app.";"✅ <strong>Jawaban: A) The spreadsheet remains in the Documents app but is automatically set to read-only.</strong>";"odoo19::spreadsheet"
"<strong>In a multi-company database with Company A, Company B, and Company C, how can you ensure only users from Company A and Company B can access a new dashboard you create?</strong><br><br>A) In the dashboard configuration, set which companies' users can access the dashboard.<br>B) You need to duplicate the dashboard and assign each copy to a single company.<br>C) This is not possible; any dashboard is visible to all companies present in the database.";"✅ <strong>Jawaban: A) In the dashboard configuration, set which companies' users can access the dashboard.</strong>";"odoo19::spreadsheet"
"<strong>How would you set up a mechanism where the amount of time off an employee gets depends on their number of days worked?</strong><br><br>A) You create a new Time Off type that does not require any approvals.<br>B) You create a new Allocation and set the Allocation Type to ""Accrual Allocation""<br>C) You create a new Time Off type that does not permit Extra Day Requests";"✅ <strong>Jawaban: B) You create a new Allocation and set the Allocation Type to ""Accrual Allocation""</strong>";"odoo19::hr"
"<strong>In the Employees app, what does the History smart button do?</strong><br><br>A) Allows you to revert to any previous contract<br>B) It shows all versions of the Employee record, and allows you to view past records<br>C) Shows all payslips for the employee, grouped by job title and salary";"✅ <strong>Jawaban: A) Allows you to revert to any previous contract</strong>";"odoo19::hr"
"<strong>How do you automatically send an email asking an applicant to schedule an interview in the Recruitment app?</strong><br><br>A) Edit the corresponding stage in the pipeline, and select the email template 'Recruitment: Schedule interview'.<br>B) Select the email template 'Recruitment: Schedule Interview' in the Configuration page for the job position.<br>C) The Recruitment app automatically sends the 'Recruitment: Schedule Interview' email template when the candidate moves to the Qualified stage; there is no further configuration needed";"✅ <strong>Jawaban: A) Edit the corresponding stage in the pipeline, and select the email template 'Recruitment: Schedule interview'.</strong>";"odoo19::hr"
"<strong>How can a user with the required rights change an Employee's presence in the database from Present to Absent?</strong><br><br>A) In the Attendances app dashboard, click on the employee attendance record, and select Absent<br>B) In the Employees app dashboard, click Presence Icon > Absent<br>C) On the Employee record, click Actions > Presence Control > Set Absent";"✅ <strong>Jawaban: B) In the Employees app dashboard, click Presence Icon > Absent</strong>";"odoo19::hr"
"<strong>How can you determine if an employee is out of the office, taking a sick day?</strong><br><br>A) A red stethoscope icon appears on their employee profile<br>B) An orange airplane appears on their employee profile.<br>C) A gray 'Out Of Office' banner appears on their employee profile.";"✅ <strong>Jawaban: A) A red stethoscope icon appears on their employee profile</strong>";"odoo19::hr"
"<strong>What happens to an order when you split a bill?</strong><br><br>A) A sub-order is created.<br>B) The bill is printed.<br>C) Nothing, you proceed with the same order.";"✅ <strong>Jawaban: A) A sub-order is created.</strong>";"odoo19::pos"
"<strong>If no payment method is selected, what is the default one in the register?</strong><br><br>A) Cash.<br>B) Card.<br>C) Customer account.";"✅ <strong>Jawaban: A) Cash.</strong>";"odoo19::pos"
"<strong>If a product set for a late ship is not available, what should you do?</strong><br><br>A) Cancel the order until more units are ordered.<br>B) Update the unit quantity.<br>C) Refund the customer.";"✅ <strong>Jawaban: A) Cancel the order until more units are ordered.</strong>";"odoo19::pos"
